"Airports","IATA","Rank","Hotels nearby","URL"
"Airport Halle/ Leipzig","LEJ","274","30","https://www.booking.com/searchresults.de.html?iata=LEJ&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Airport Lübeck","LBC","660","30","https://www.booking.com/searchresults.de.html?iata=LBC&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Altenburg/Nobitz","AOC","999","30","https://www.booking.com/searchresults.de.html?iata=AOC&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Augsburg","AGB","620","30","https://www.booking.com/searchresults.de.html?iata=AGB&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Baden Airport","FKB","750","30","https://www.booking.com/searchresults.de.html?iata=FKB&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Baden Oos","ZCC","999","30","https://www.booking.com/searchresults.de.html?iata=ZCC&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Baltrum","BMR","999","30","https://www.booking.com/searchresults.de.html?iata=BMR&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Barth","BBH","999","31","https://www.booking.com/searchresults.de.html?iata=BBH&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Berlin Brandenburg","BER","999","30","https://www.booking.com/searchresults.de.html?iata=BER&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Berlin-Tempelhof","THF","999","30","https://www.booking.com/searchresults.de.html?iata=THF&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Bindlacher Berg","BYU","999","30","https://www.booking.com/searchresults.de.html?iata=BYU&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Black Forest","LHA","999","30","https://www.booking.com/searchresults.de.html?iata=LHA&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Borkum","BMK","999","30","https://www.booking.com/searchresults.de.html?iata=BMK&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Braunschweig / Wolfsburg","BWE","999","30","https://www.booking.com/searchresults.de.html?iata=BWE&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Bremen","BRE","292","30","https://www.booking.com/searchresults.de.html?iata=BRE&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Bremerhaven","BRV","999","30","https://www.booking.com/searchresults.de.html?iata=BRV&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Celle","ZCN","999","30","https://www.booking.com/searchresults.de.html?iata=ZCN&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"City Airport Mannheim","MHG","999","30","https://www.booking.com/searchresults.de.html?iata=MHG&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Cottbus-Drewitz","CBU","999","31","https://www.booking.com/searchresults.de.html?iata=CBU&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Dessau","ZSU","999","30","https://www.booking.com/searchresults.de.html?iata=ZSU&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Donaueschingen Villingen","DVI","999","31","https://www.booking.com/searchresults.de.html?iata=DVI&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Dortmund","DTM","368","30","https://www.booking.com/searchresults.de.html?iata=DTM&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Dresden Airport","DRS","301","30","https://www.booking.com/searchresults.de.html?iata=DRS&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Dune","HGL","999","23","https://www.booking.com/searchresults.de.html?iata=HGL&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Düsseldorf","DUS","65","30","https://www.booking.com/searchresults.de.html?iata=DUS&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Düsseldorf-Mönchengladbach","MGL","999","30","https://www.booking.com/searchresults.de.html?iata=MGL&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Egelsbach","QEF","753","30","https://www.booking.com/searchresults.de.html?iata=QEF&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Eisenach","EIB","999","30","https://www.booking.com/searchresults.de.html?iata=EIB&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Emden","EME","999","30","https://www.booking.com/searchresults.de.html?iata=EME&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Erfurt","ERF","999","30","https://www.booking.com/searchresults.de.html?iata=ERF&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Essen-Mülheim","ESS","779","31","https://www.booking.com/searchresults.de.html?iata=ESS&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Frankfurt","FRA","7","30","https://www.booking.com/searchresults.de.html?iata=FRA&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Frankfurt-Hahn Airport","HHN","523","30","https://www.booking.com/searchresults.de.html?iata=HHN&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Freiburg","QFB","999","30","https://www.booking.com/searchresults.de.html?iata=QFB&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Friedrichshafen","FDH","536","30","https://www.booking.com/searchresults.de.html?iata=FDH&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Fritzlar Air Base","FRZ","999","30","https://www.booking.com/searchresults.de.html?iata=FRZ&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
"Furstenfeldbruck","FEL","999","30","https://www.booking.com/searchresults.de.html?iata=FEL&aid=1886270&no_rooms=1&group_adults=1&label=Flughafen"
